,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,individualPracticeAttempts,content,timeElapsedInTurn,timeElapsedInTrial,turnStartTime,trialStartTime,eventType,practice
0,5f4fe9fd1034572e6687fb04,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599072765268.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,horizontal,vertical,,0,practice,0,"starting from the right, make two spaces then place a flat block
",96055,96055,1599072670337,1599072670337,chatMessage,True
1,5f4fea611034572e6687fb1b,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599072865668.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,horizontal,vertical,,2,practice,0,"starting from the left most side,  leave two black spots then place a blu block on the first level",99814,196456,1599072766979,1599072670337,chatMessage,True
2,5f4feab71034572e6687fb30,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599072951303.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,horizontal,vertical,,0,practice,0,"don't place anything, here's how we're going to do it~~~ we're going to make a grid~~~",58415,58415,1599072894015,1599072894015,chatMessage,True
3,5f4feb3b1034572e6687fb47,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073083130.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,horizontal,vertical,,2,practice,0,"basically x,y coordinate left to right 1-12, bottom to top 1 - 9 so the left most bottosquare is 1,1",124369,190244,1599072959890,1599072894015,chatMessage,True
4,5f4feb5c1034572e6687fb51,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073116795.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,horizontal,vertical,,4,practice,0,"blue block 3,1",23697,223911,1599073094229,1599072894015,chatMessage,True
5,5f4feb961034572e6687fb5f,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073174481.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,horizontal,vertical,,6,practice,0,"perfect red block 9,1
",18180,281595,1599073157430,1599072894015,chatMessage,True
6,5f4febbb1034572e6687fb6d,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073211921.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,C,0.0,0,0,0,"blue 2,1",18050,18050,1599073194997,1599073194997,chatMessage,False
7,5f4febcd1034572e6687fb73,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073229167.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,C,0.0,2,0,0,"blue 4,1
",9538,35305,1599073220764,1599073194997,chatMessage,False
8,5f4febe01034572e6687fb7a,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073248780.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,C,0.0,4,0,0,"blue 9,1
",9804,54918,1599073240111,1599073194997,chatMessage,False
9,5f4febf81034572e6687fb7d,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073272813.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,C,0.0,6,0,0,"red 2,2",15101,78949,1599073258845,1599073194997,chatMessage,False
10,5f4fec091034572e6687fb84,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073289801.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,C,0.0,8,0,0,"red 2, 4",11380,95932,1599073279549,1599073194997,chatMessage,False
11,5f4fec1b1034572e6687fb8e,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073307843.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,C,0.0,10,0,0,"red 9,2",6918,113972,1599073302051,1599073194997,chatMessage,False
12,5f4fec2b1034572e6687fb95,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073323833.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,C,0.0,12,0,0,"red 9,4",6487,129969,1599073318479,1599073194997,chatMessage,False
13,5f4fec411034572e6687fb98,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073345074.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,C,0.0,14,0,0,"blue 9,6
",14774,151207,1599073331430,1599073194997,chatMessage,False
14,5f4fec5a1034572e6687fba4,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073370884.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,Pi,1.0,0,0,0,"blue 2,1",10946,10946,1599073361069,1599073361069,chatMessage,False
15,5f4fec651034572e6687fbab,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073381818.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,Pi,1.0,2,0,0,"blue 4,1",6732,21879,1599073376216,1599073361069,chatMessage,False
16,5f4fec751034572e6687fbb2,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073397665.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,Pi,1.0,4,0,0,"red 2,2
",8668,37728,1599073390129,1599073361069,chatMessage,False
17,5f4fec871034572e6687fbb7,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073415782.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,Pi,1.0,6,0,0,"red 2,4",12320,55849,1599073404598,1599073361069,chatMessage,False
18,5f4fec9c1034572e6687fbbc,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073436732.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,Pi,1.0,8,0,0,"red 8,1",14300,76796,1599073423565,1599073361069,chatMessage,False
19,5f4fecaf1034572e6687fbc6,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073455302.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,Pi,1.0,10,0,0,"red 11, 1",5895,95356,1599073450530,1599073361069,chatMessage,False
20,5f4fecc61034572e6687fbce,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073478585.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,Pi,1.0,12,0,0,"blue 8, 3",9697,118647,1599073470019,1599073361069,chatMessage,False
21,5f4fecd91034572e6687fbd4,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073497334.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,L,Pi,1.0,14,0,0,"blue 10, 3",9421,137399,1599073489047,1599073361069,chatMessage,False
22,5f4fecef1034572e6687fbda,pilot4,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,1599073519635.0,3634BBTX0SUEB2O4FMWC3FZA9LSIFX,C,Pi,2.0,0,0,0,"blue 3,1",11168,11168,1599073509604,1599073509604,chatMessage,False
