,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,content,timeElapsedInTurn,timeElapsedInTrial,eventType,practice
0,5ef78389ce2f7f58fcd0a350,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279369916.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,vertical,horizontal,,0,practice,place the red one 3 from the left and the blue 3 from the right,60567,60567,chatMessage,True
1,5ef783bace2f7f58fcd0a358,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279418484.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,vertical,horizontal,,0,practice,"close, but put the towers starting on the third blocks from each side
",20018,20018,chatMessage,True
2,5ef783e4ce2f7f58fcd0a35e,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279460649.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,0,0,put a blue block three from the left~~~ ,28166,28166,chatMessage,False
3,5ef78401ce2f7f58fcd0a365,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279489995.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,2,0,place a red block on top of the left side of the blue block and then another red on top of that red,21993,57512,chatMessage,False
4,5ef7842ace2f7f58fcd0a36e,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279530677.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,4,0,Now place a blue block on top of that that lines up with the bottom blue block,24789,98193,chatMessage,False
5,5ef78461ce2f7f58fcd0a37d,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279585887.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,6,0,"remove that last blue block, place it on top of the red blocks",29367,153402,chatMessage,False
6,5ef7848ace2f7f58fcd0a388,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279626687.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,8,0,"place a red block on the second grid from the right of the screen
",20695,194201,chatMessage,False
7,5ef784a8ce2f7f58fcd0a390,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279656348.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,10,0,now place another red block three more space to the left of that one,18272,223861,chatMessage,False
8,5ef784ccce2f7f58fcd0a39c,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279692807.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0.0,12,0,"place two blue blocks next to each other connecting on top of the two red blocks
",20376,260321,chatMessage,False
9,5ef78501ce2f7f58fcd0a3ab,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279745969.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1.0,0,0,place a blue block starting in the second grid from the left,38147,38147,chatMessage,False
