,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,turnNum,repNum,score,gameID,nativeEnglish,isHuman,confused,comments,strategy,role,totalLength,eventType
0,5ef78980ce2f7f58fcd0a621,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280896816.0,3QIYRE09Y7HFZO5N53UJJLRWGEHN1N,Pi,L,0,3,83,A2Y7RA3JIQXV6M,yes,human,yes,No,My strategy is to follow the architect's word~~~,listener,1587778,exitSurvey
1,5ef7899cce2f7f58fcd0a634,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280924026.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,Pi,L,0,3,83,AH00EJ6PK1H3A,yes,human,yes,All was clear and worked as it should~~~ Thanks for the opportunity~~~,I tried to shorthand my instructions over time as me and the builder learned the standard shapes being asked of us~~~,speaker,1698709,exitSurvey
0,5ef793b2ce2f7f58fcd0a9bc,pilot0,2391-2f396ec8-517f-4681-b366-51f930bcac22,1593283506968.0,3DR23U6WE9ECE24JENBAZ4GIU57ETY,C,L,0,3,84,AT6LDQNLKTUSE,yes,human,yes,Yes~~~ This HIT took 72 minutes~~~ You said it would take 25~~~ I feel very deceived~~~,I tried to follow directions to the best of my ability~~~,listener,3114040,exitSurvey
1,5ef793e3ce2f7f58fcd0a9bd,pilot0,2391-2f396ec8-517f-4681-b366-51f930bcac22,1593283555161.0,32EYX73OY49GNJOD0YLK3713S84RUF,C,L,0,3,84,A37XBH865833FE,yes,human,yes,"Ir an out of time to submit HIT, you should have given more time~~~",Describe in detail where to place them and use same wording over again~~~,speaker,3176318,exitSurvey
0,5ef78a90ce2f7f58fcd0a6e8,pilot0,2461-b9a83dc7-d6fc-4939-a889-9d4739a87dc6,1593281168204.0,338JKRMM2AZJJGWCYOSZP2N3YWEHAW,Pi,L,0,3,15,A2J18K5IUQ2K4G,yes,program,yes,no,"i tried my best to communicate the proper configuration, but it was very difficult and my partner was not very capable",speaker,1752698,exitSurvey
1,5ef78ac9ce2f7f58fcd0a70e,pilot0,2461-b9a83dc7-d6fc-4939-a889-9d4739a87dc6,1593281224998.0,3N4BPTXIOCSU0FBIAECN2VFPXGAUKP,Pi,L,0,3,15,A2QNVAMUHLUVMU,yes,human,yes,It was almost impossible to get a bonus because I was unable to place the blocks correctly~~~ I feel that we should still receive a bonus for the time spent on this HIT~~~,I'm sure this was part of the research but it was frustrating because the architect would give me commands that I could not physically do~~~ I could only place 2 blocks at a time and they would want 3 or 5~~~ They would want the blocks up in the air but I could only place them on top of other blocks or at the bottom~~~ I tried to do what they said as best as I could~~~,listener,1794699,exitSurvey
0,5ef788b5ce2f7f58fcd0a58f,pilot0,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1593280693761.0,3VHP9MDGRRKNYZ24NC0QSC1EIKMCFV,C,L,0,3,115,A2GV9WSNSPX53,yes,human,yes,"It was a little laggy, but it worked out in the end~~~",Try and get the 3 basic shapes down at the beginning and use that prior knowledge to make the instructions more simplistic in future trials~~~,speaker,1340685,exitSurvey
1,5ef788c9ce2f7f58fcd0a59c,pilot0,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1593280713417.0,3KJYX6QCMDBZ2AU0XJMGX2HVWYJJV4,C,L,0,3,115,A3TBR9GIXU42DM,yes,human,yes,,I tried my best to follow the Architect player's directions~~~ Once I took an extra turn for clarification~~~ We really hit the swing of things once A~~~ developed their own terms for the different tower shapes~~~,listener,1321253,exitSurvey
0,5ef78b0dce2f7f58fcd0a72b,pilot0,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,1593281293908.0,3DY4FPOOA5OG0YDD5OVPZT3M6FDRV4,Pi,C,0,3,115,A1O8D22H0D03W1,yes,human,yes,Interesting experiment,by seeing the architect's symbol response,listener,1399902,exitSurvey
1,5ef78de0ce2f7f58fcd0a802,pilot0,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,1593282016494.0,3UXUOQ9OKIXMQRQ0LF6NYPY9KTIA7N,Pi,C,0,3,115,ACWVHNV57A8IJ,yes,human,yes,Extremely interesting experiment~~~,By showing them the block using symbols from alphabet~~~,speaker,2125576,exitSurvey
