,workerID,dyad_gameid,message_id,message_num,trial_num,tower_pair,rep,exp_type,n_refs
0,julia,0110-5784fec9-109a-4d7a-a343-4820f4d42144,e5b3a67b-aa0e-563e-efe1-633cb87c6dd3,0,0.0,L_Pi,1,block,2
1,justin,0110-5784fec9-109a-4d7a-a343-4820f4d42144,e5b3a67b-aa0e-563e-efe1-633cb87c6dd3,0,0.0,L_Pi,1,block,2
2,julia,0110-5784fec9-109a-4d7a-a343-4820f4d42144,abbd2fe0-e095-bbfd-4c26-52d8b6eaf241,1,0.0,L_Pi,1,block,2
3,justin,0110-5784fec9-109a-4d7a-a343-4820f4d42144,abbd2fe0-e095-bbfd-4c26-52d8b6eaf241,1,0.0,L_Pi,1,block,2
4,julia,0110-5784fec9-109a-4d7a-a343-4820f4d42144,d39dd7ca-1fde-56c1-9d41-a10b16b3d17d,2,0.0,L_Pi,1,block,2
5,justin,0110-5784fec9-109a-4d7a-a343-4820f4d42144,d39dd7ca-1fde-56c1-9d41-a10b16b3d17d,2,0.0,L_Pi,1,block,2
6,julia,0110-5784fec9-109a-4d7a-a343-4820f4d42144,9f118a42-9cd3-a795-5edd-9aae7f104dcf,3,0.0,L_Pi,1,block,1
7,justin,0110-5784fec9-109a-4d7a-a343-4820f4d42144,9f118a42-9cd3-a795-5edd-9aae7f104dcf,3,0.0,L_Pi,1,block,1
8,julia,0110-5784fec9-109a-4d7a-a343-4820f4d42144,dc786e74-3ae7-ab54-169e-98cea7713b3c,4,0.0,L_Pi,1,block,1
9,justin,0110-5784fec9-109a-4d7a-a343-4820f4d42144,dc786e74-3ae7-ab54-169e-98cea7713b3c,4,0.0,L_Pi,1,block,1
10,julia,0110-5784fec9-109a-4d7a-a343-4820f4d42144,e1289e96-ebe3-387b-68cb-aa9e22d72fab,0,1.0,L_C,1,block,2
11,justin,0110-5784fec9-109a-4d7a-a343-4820f4d42144,e1289e96-ebe3-387b-68cb-aa9e22d72fab,0,1.0,L_C,1,block,2
